African,afr
Afrikaans,afk
Akan,aka
Albanian,alb
Algonquin,alg
American,usa
Amharic,amh
Ancient,anci
Ancient Celtic,cela
Ancient Greek,grea
Ancient Roman,roma
Apache,apa
Arabic,ara
Armenian,arm
Astronomy,astr
Aymara,aym
Azerbaijani,aze
Bashkir,bsh
Basque,bas
Belarusian,bel
Bengali,ben
Berber,ber
Biblical (All),bibl
Bosnian,bos
Breton,bre
Bulgarian,bul
Catalan,cat
Celtic Mythology,celm
Chechen,che
Chewa,cew
Chinese,chi
Choctaw,cht
Circassian,cir
Comanche,com
Coptic,cop
Cornish,cor
Corsican,crs
Cree,cre
Croatian,cro
Czech,cze
Dagestani,dgs
Danish,dan
Dutch,dut
English,eng
Esperanto,esp
Estonian,est
Ethiopian,eth
Ewe,ewe
Fairy,fairy
Fantasy,fntsy
Faroese,fae
Filipino,fil
Finnish,fin
Flemish,fle
French,fre
Frisian,fri
Galician,gal
Ganda,gan
Georgian,geo
German,ger
Gluttakh,fntsg
Goth,goth
Greek,gre
Greek Mythology,grem
Greenlandic,grn
Hawaiian,haw
Hillbilly,hb
Hippy,hippy
History,hist
Hmong,hmo
Hungarian,hun
Ibibio,ibi
Icelandic,ice
Igbo,igb
Indian,ind
Indian Mythology,indm
Indigenous Australian,aus
Indonesian,ins
Ingush,ing
Inuit,inu
Irish,iri
Iroquois,iro
Italian,ita
Japanese,jap
Jèrriais,jer
Jewish,jew
Kazakh,kaz
Khmer,khm
Kikuyu,kik
Korean,kor
Kreatyve,kk
Kurdish,kur
Kyrgyz,kyr
Latvian,lat
Limburgish,lim
Literature,lite
Lithuanian,lth
Luhya,luh
Luo,luo
Macedonian,mac
Malayalam,mlm
Maltese,mal
Manx,man
Maori,mao
Mapuche,map
Mayan,may
Medieval,medi
Mongolian,mon
Monstrall,fntsm
Mormon,morm
Mwera,mwe
Mythology,myth
Nahuatl,nah
Native American,ame
Navajo,nav
Ndebele,nde
Norse Mythology,scam
Norse Mythology,slam
Norwegian,nor
Nuu-chah-nulth,nuu
Occitan,occ
Ojibwe,oji
Ossetian,oss
Pakistani,pak
Pashto,pas
Persian,per
Pet,pets
Polish,pol
Popular Culture,popu
Portuguese,por
Punjabi,pun
Quechua,que
Rapper,rap
Roman Mythology,romm
Romanian,rmn
Romanto,fntsr
Russian,rus
Sami,sam
Scandinavian,sca
Scottish,sco
Serbian,ser
Shawnee,sha
Shona,sho
Sicilian,sic
Simitiq,fntss
Sioux,sio
Slovak,slk
Slovene,sln
Sorbian,sor
Sotho,sot
Spanish,spa
Swahili,swa
Swedish,swe
Tagalog,tag
Tahitian,tah
Tajik,taj
Tamil,tam
Tatar,tat
Telugu,tel
Thai,tha
Theology,theo
Tibetan,tib
Transformer,trans
Tsang,fntst
Tswana,tsw
Tumbuka,tum
Tupí,tup
Turkish,tur
Turkmen,tkm
Ukrainian,ukr
Urdu,urd
Urhobo,urh
Uyghur,uyg
Uzbek,uzb
Various,vari
Vietnamese,vie
Welsh,wel
Witch,witch
Wrestler,wrest
Xalaxxi,fntsx
Xhosa,xho
Yao,yao
Yoruba,yor
Zapotec,zap
Zulu,zul